 Hrishikesh:4, Jeevitesh:3, Manish:4, Thayanitha:1, Muhilan:5, Total:17, Time Stamp:2022-06-30 10:18:19.192441
 Hrishikesh:4, Jeevitesh:3, Manish:4, Thayanitha:1, Muhilan:6, Total:18, Time Stamp:2022-06-30 10:18:31.841912
 Hrishikesh:5, Jeevitesh:3, Manish:4, Thayanitha:1, Muhilan:6, Total:19, Time Stamp:2022-06-30 10:19:02.875689
 Hrishikesh:6, Jeevitesh:3, Manish:4, Thayanitha:1, Muhilan:6, Total:20, Time Stamp:2022-06-30 10:19:27.182552
 Hrishikesh:7, Jeevitesh:3, Manish:4, Thayanitha:1, Muhilan:6, Total:21, Time Stamp:2022-06-30 10:19:47.137146
 Hrishikesh:8, Jeevitesh:3, Manish:4, Thayanitha:1, Muhilan:6, Total:22, Time Stamp:2022-06-30 10:19:59.829860
-------------------------------------EXISTING SESSION ENDS HERE-------------------------------------------------------
 Hrishikesh:0, Jeevitesh:0, Manish:0, Thayanitha:0, Muhilan:1, Total:1, Time Stamp:2022-06-30 10:24:13.801559
 Hrishikesh:0, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:1, Total:2, Time Stamp:2022-06-30 10:25:04.072060
 Hrishikesh:0, Jeevitesh:1, Manish:1, Thayanitha:0, Muhilan:1, Total:3, Time Stamp:2022-06-30 10:25:18.370107
 Hrishikesh:1, Jeevitesh:1, Manish:1, Thayanitha:0, Muhilan:1, Total:4, Time Stamp:2022-06-30 10:25:43.388894
 Hrishikesh:1, Jeevitesh:1, Manish:1, Thayanitha:0, Muhilan:2, Total:5, Time Stamp:2022-06-30 10:26:05.466757
 Hrishikesh:2, Jeevitesh:1, Manish:1, Thayanitha:0, Muhilan:2, Total:6, Time Stamp:2022-06-30 10:26:46.257461
 Hrishikesh:2, Jeevitesh:1, Manish:1, Thayanitha:0, Muhilan:3, Total:7, Time Stamp:2022-06-30 10:27:02.282908
 Hrishikesh:2, Jeevitesh:2, Manish:1, Thayanitha:0, Muhilan:3, Total:8, Time Stamp:2022-06-30 10:27:15.183831
 Hrishikesh:2, Jeevitesh:2, Manish:2, Thayanitha:0, Muhilan:3, Total:9, Time Stamp:2022-06-30 10:27:30.770131
 Hrishikesh:3, Jeevitesh:2, Manish:2, Thayanitha:0, Muhilan:3, Total:10, Time Stamp:2022-06-30 10:28:03.723507
 Hrishikesh:4, Jeevitesh:2, Manish:2, Thayanitha:0, Muhilan:3, Total:11, Time Stamp:2022-06-30 10:28:18.593017
 Hrishikesh:5, Jeevitesh:2, Manish:2, Thayanitha:0, Muhilan:3, Total:12, Time Stamp:2022-06-30 10:28:34.570089
 Hrishikesh:6, Jeevitesh:2, Manish:2, Thayanitha:0, Muhilan:3, Total:13, Time Stamp:2022-06-30 10:28:49.656751
 Hrishikesh:7, Jeevitesh:2, Manish:2, Thayanitha:0, Muhilan:3, Total:14, Time Stamp:2022-06-30 10:29:39.128759
 Hrishikesh:8, Jeevitesh:2, Manish:2, Thayanitha:0, Muhilan:3, Total:15, Time Stamp:2022-06-30 10:30:00.688411
 Hrishikesh:9, Jeevitesh:2, Manish:2, Thayanitha:0, Muhilan:3, Total:16, Time Stamp:2022-06-30 10:30:20.953448
 Hrishikesh:10, Jeevitesh:2, Manish:2, Thayanitha:0, Muhilan:3, Total:17, Time Stamp:2022-06-30 10:30:32.775107
 Hrishikesh:11, Jeevitesh:2, Manish:2, Thayanitha:0, Muhilan:3, Total:18, Time Stamp:2022-06-30 10:30:49.300884
 Hrishikesh:12, Jeevitesh:2, Manish:2, Thayanitha:0, Muhilan:3, Total:19, Time Stamp:2022-06-30 10:31:18.112342
 Hrishikesh:12, Jeevitesh:2, Manish:3, Thayanitha:0, Muhilan:3, Total:20, Time Stamp:2022-06-30 10:31:31.514412
-------------------------------------EXISTING SESSION ENDS HERE-------------------------------------------------------
 Hrishikesh:1, Jeevitesh:0, Manish:0, Thayanitha:0, Muhilan:0, Total:1, Time Stamp:2022-06-30 10:54:40.344836
 Hrishikesh:2, Jeevitesh:0, Manish:0, Thayanitha:0, Muhilan:0, Total:2, Time Stamp:2022-06-30 10:55:13.484918
 Hrishikesh:2, Jeevitesh:0, Manish:0, Thayanitha:0, Muhilan:1, Total:3, Time Stamp:2022-06-30 10:55:23.649734
 Hrishikesh:2, Jeevitesh:0, Manish:0, Thayanitha:0, Muhilan:2, Total:4, Time Stamp:2022-06-30 10:55:54.995392
 Hrishikesh:2, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:2, Total:5, Time Stamp:2022-06-30 10:56:26.545825
 Hrishikesh:2, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:3, Total:6, Time Stamp:2022-06-30 10:56:55.824386
 Hrishikesh:2, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:4, Total:7, Time Stamp:2022-06-30 10:57:07.831174
 Hrishikesh:2, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:5, Total:8, Time Stamp:2022-06-30 10:57:19.762581
 Hrishikesh:2, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:6, Total:9, Time Stamp:2022-06-30 10:57:53.783361
 Hrishikesh:2, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:7, Total:10, Time Stamp:2022-06-30 10:58:14.104898
 Hrishikesh:2, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:8, Total:11, Time Stamp:2022-06-30 10:58:39.386642
 Hrishikesh:2, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:9, Total:12, Time Stamp:2022-06-30 10:59:06.134672
 Hrishikesh:2, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:10, Total:13, Time Stamp:2022-06-30 10:59:19.594478
 Hrishikesh:2, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:11, Total:14, Time Stamp:2022-06-30 10:59:43.223412
 Hrishikesh:2, Jeevitesh:1, Manish:1, Thayanitha:0, Muhilan:11, Total:15, Time Stamp:2022-06-30 11:00:51.429961
 Hrishikesh:2, Jeevitesh:1, Manish:1, Thayanitha:0, Muhilan:12, Total:16, Time Stamp:2022-06-30 11:01:05.923221
 Hrishikesh:2, Jeevitesh:1, Manish:2, Thayanitha:0, Muhilan:12, Total:17, Time Stamp:2022-06-30 11:02:05.684890
 Hrishikesh:2, Jeevitesh:1, Manish:2, Thayanitha:0, Muhilan:13, Total:18, Time Stamp:2022-06-30 11:02:20.823719
